Min Players (group),Category,Category (group),Min Players,Name,Playtime,Avg Rating,Cnull,maxNRatePerMinPlayandCat,NamesMaxNR,Num Ratings,Playtime Num
Not Support Solo,Economic,Economic,3,For Sale,,7.21659,1,61157,For Sale,22580,30
Not Support Solo,Party Game,Party Game,4,Cards Against Humanity,,6.02013,1,47812,Cards Against Humanity,22147,30
Solo Support,Fighting,Fighting,1,Elder Sign,,7.00506,1,37075,Elder Sign,21321,90
Not Support Solo,Fighting,Fighting,2,Descent: Journeys in the Dark (Second Edition),,7.73127,1,59211,Descent: Journeys in the Dark (Second Edition),21853,120
Solo Support,Economic,Economic,1,Suburbia,,7.56653,1,61557,Suburbia,20870,90
Not Support Solo,Fighting,Fighting,2,Colt Express,,7.16312,1,59211,Colt Express,22886,40
Solo Support,Fighting,Fighting,1,Ghost Stories,,7.35201,1,37075,Ghost Stories,18848,60
Solo Support,Economic,Economic,1,Viticulture Essential Edition,,8.14362,1,61557,Viticulture Essential Edition,25735,90
Not Support Solo,Bluffing,Bluffing,2,Survive: Escape from Atlantis!,,7.30851,1,46905,Survive: Escape from Atlantis!,19404,60
Not Support Solo,Economic,Economic,2,Acquire,,7.35261,1,61157,Acquire,17836,90
Not Support Solo,Economic,Economic,2,Through the Ages: A Story of Civilization,,7.98974,1,61157,Through the Ages: A Story of Civilization,17684,240
Not Support Solo,Bluffing,Bluffing,3,One Night Ultimate Werewolf,,7.21336,1,46905,One Night Ultimate Werewolf,20142,10
Not Support Solo,Fighting,Fighting,2,Star Wars: Imperial Assault,,8.0778,1,59211,Star Wars: Imperial Assault,19391,120
Not Support Solo,Fighting,Fighting,2,Star Wars: Rebellion,,8.44551,1,59211,Star Wars: Rebellion,21095,240
Solo Support,Fighting,Fighting,1,Mansions of Madness: Second Edition,,8.15362,1,37075,Mansions of Madness: Second Edition,22562,180
Not Support Solo,Party Game,Party Game,4,Apples to Apples,,5.85811,1,47812,Apples to Apples,17184,30
Not Support Solo,Economic,Economic,2,Keyflower,,7.85182,1,61157,Keyflower,18067,120
Not Support Solo,Bluffing,Bluffing,3,BANG! The Dice Game,,6.99031,1,46905,BANG! The Dice Game,18715,15
